alpha,train_rmse,train_weighted_rmse,train_mae,train_r2,train_corr,valid_rmse,valid_weighted_rmse,valid_mae,valid_r2,valid_corr
3.0,1.897225222301292,1.9132793646720954,1.496691156572978,0.4106354123221164,0.6437323136519362,1.9809731747454722,1.9976194575354582,1.577804567980769,0.29408166022733817,0.5798125071002694
10.0,1.9357925309317536,1.9556321873939622,1.5286648774530143,0.38643033790804915,0.6251791892124096,1.9906770395301046,2.0106466142741017,1.591592712243145,0.2871487910511088,0.5804796516339525
1.0,1.882159871113693,1.8958137434867708,1.4827416326511025,0.41995821868426,0.650618793836908,2.003221508747196,2.0167476824470123,1.5948688033607161,0.2781362637188449,0.5652808089215499
30.0,1.9842541108562193,2.0075380956543114,1.5657011632949083,0.35532499014042995,0.5996975683934029,2.0179538953129756,2.041090216800894,1.6124552470889801,0.26747954754401115,0.5668262090645582
0.3,1.8775135439010657,1.889820030319229,1.4765896591026069,0.42281848301921576,0.6528510246549588,2.04240841626314,2.0530134583044255,1.6236214894061582,0.2496179120053651,0.5461732853954265
100.0,2.0313047162879485,2.057347792599724,1.602330812731944,0.32438946683800685,0.573114297091856,2.0408026921801548,2.0674408896632723,1.628325090548192,0.25079733619584454,0.5511614218192934
0.1,1.8768462037152205,1.8886399735488235,1.4742505379370998,0.4232287149121754,0.6532580399732991,2.070116499569981,2.0792918902068003,1.6420740965458265,0.22911987359113895,0.5340393228408945
300.0,2.0637792599590714,2.091441270536168,1.6280409302896088,0.30261476949038657,0.5540070296754368,2.0550843562958736,2.0845387422261115,1.636575746597865,0.24027471195026295,0.5414624228555855
0.03,1.8768575117545898,1.8884410060053276,1.4732326006470002,0.4232217647720584,0.6533082708882474,2.0848907850942817,2.0934880364508173,1.6513713955714975,0.21807716648528253,0.527865331281999
0.01,1.876901727037373,1.8884203243774045,1.472915367629225,0.42319458880051153,0.653306827893211,2.089903134000149,2.0983326833462437,1.6544087067153477,0.2143129584942881,0.5258112163812241
1000.0,2.0940619247587655,2.1235251898181122,1.652960045477272,0.2819985872667272,0.5364634692317148,2.0829589365442076,2.1137141160917117,1.6570668572841445,0.21952554609944985,0.5301522825191366
