feature,missing_rate
247_transfer_rank,0.9090909090909091
247_transfer_rating,0.8987012987012987
247_rating,0.5662337662337662
247_stars,0.5662337662337662
evan_advanced_role,0.2597402597402597
evan_advanced_position,0.2597402597402597
evan_basic_plus_minus,0.2597402597402597
evan_basic_adj_team_eff_margin,0.2597402597402597
evan_basic_adj_team_def_eff,0.2597402597402597
evan_basic_adj_team_off_eff,0.2597402597402597
evan_basic_box_bpr,0.2597402597402597
evan_basic_box_dbpr,0.2597402597402597
evan_basic_box_obpr,0.2597402597402597
evan_basic_poss,0.2597402597402597
evan_basic_bpr,0.2597402597402597
evan_basic_dbpr,0.2597402597402597
evan_basic_obpr,0.2597402597402597
allyears_adjoe,0.0
allyears_pfr,0.0
allyears_ast_tov,0.0
allyears_drtg,0.0
allyears_adrtg,0.0
allyears_dporpag,0.0
allyears_stops,0.0
allyears_bpm,0.0
allyears_obpm,0.0
allyears_dbpm,0.0
allyears_gbpm,0.0
allyears_mp,0.0
allyears_ogbpm,0.0
allyears_dgbpm,0.0
allyears_oreb,0.0
allyears_to_per,0.0
allyears_treb,0.0
allyears_ast,0.0
allyears_stl,0.0
allyears_blk,0.0
allyears_pts,0.0
allyears_3p_100,0.0
247_weight,0.0
allyears_porpag,0.0
allyears_ftr,0.0
allyears_stl_per,0.0
allyears_blk_per,0.0
247_destination_options_count,0.0
allyears_tp_per,0.0
allyears_twop_per,0.0
allyears_ft_per,0.0
allyears_min_per,0.0
allyears_ast_per,0.0
allyears_drb_per,0.0
allyears_orb_per,0.0
allyears_ts_per,0.0
allyears_efg,0.0
allyears_usg,0.0
allyears_ortg,0.0
evan_advanced_class,0.0
allyears_gp,0.0
player_height_in,0.0
allyears_player_class,0.0
allyears_role,0.0
transfer_old_team,0.0
transfer_old_team_conf,0.0
247_position,0.0
247_position_group,0.0
allyears_dreb,0.0
