position_group,rating_tier,historical_n,spacing_percentile,facilitating_percentile,rim_protection_percentile,defense_percentile,finishing_percentile
C,lower_50pct,336,29.869520134407992,30.256067379849913,75.71627543501083,43.859202548695514,53.863681427627235
C,top_10pct,37,33.421969714041055,47.24173718665176,90.70341151880164,76.28516004065331,58.79896452963208
C,top_1pct,10,52.249300856207974,61.881286923199745,93.6714679694945,88.71639288139411,68.38657303370786
C,top_25pct,125,32.6961884027639,39.09867475650647,83.87367543959498,59.999091949467385,57.514935007710946
C,top_50pct,156,30.210598274496938,33.21491298099952,79.02502583757982,49.60045489530067,59.00343577880591
C,top_5pct,33,37.70906495229648,54.57648091968705,90.0448394185188,80.2711619020676,58.79827715355805
F,lower_50pct,1251,42.898387418939045,40.86300494970462,62.71095909640147,44.9125945868962,51.63596056400088
F,top_10pct,110,55.07548489304128,53.67735110969184,69.30782981940953,68.2735726244222,57.52865829477858
F,top_1pct,37,62.414914007386,67.2660865399968,84.36260040591644,85.58099026189157,60.662037893809206
F,top_25pct,395,47.57572409666023,48.064026824205655,67.32735698878531,55.621066251866935,57.961645736946465
F,top_50pct,661,46.6482152078442,44.63915056682101,65.41816800454892,52.46738557529963,55.88345891165455
F,top_5pct,110,56.06505373239091,61.323447229762095,78.43567164563726,79.724783508149,59.447226261291036
G,lower_50pct,1541,57.63615542448933,55.94762893182181,28.38476698394347,44.128051938959615,40.52780568407138
G,top_10pct,164,65.87513113236452,65.87498004151365,37.60131432702704,63.10571869252766,48.97464199162812
G,top_1pct,23,69.51472218151982,77.88998882324765,49.48677003252538,77.75792793941622,54.35526327384886
G,top_25pct,420,60.276105253574855,62.775427111607854,32.894791162039084,56.663351159597624,47.74722405816259
G,top_50pct,745,58.803044609181626,59.06115280217149,29.70586111949594,48.16155104318142,39.284534038334435
G,top_5pct,109,66.65859410847935,73.6927191441801,41.420174018576645,72.845527005331,51.396232650363515
